,title,address,date_added,bedroom,bathroom,toilet,parking_space,price
0,Self contained (single rooms) for rent,"By Dorren, Thomas Estate, Ajah, Lagos",Added Today,1,1,1,1,400000.00
1,1 bedroom mini flat for rent,"Ojodu, Lagos",Added Today,3,1,1,2,500000.00
2,Self contained (single rooms) for rent,"Behinde World Oil Filling Station Ilason Bustop, Lekki, Lagos",Added Today,3,1,1,1,650000.00
3,3 bedroom flat for rent,"Off Brown Road Aguda Surulere, Aguda, Surulere, Lagos",Added Today,3,3,4,10,1500000.00
4,Self contained (single rooms) for rent,"Bogije, Bogije, Ibeju Lekki, Lagos",Added Today,3,1,1,2,200000.00
5,3 bedroom flat for rent,"Owode-ibeshe, Ebute, Bye Ogolonto, Ebute, Ikorodu, Lagos",Added Yesterday,3,3,3,2,250000.00
6,3 bedroom flat for rent,"Oniru, Victoria Island (VI), Lagos",Added Yesterday,3,3,4,2,6000000.00
7,3 bedroom flat for rent,"Oniru, Victoria Island (VI), Lagos",Added Yesterday,1,3,4,3,7000000.00
8,3 bedroom flat for rent,"Ikate Elegushi, Lekki, Lagos",Added Yesterday,2,3,4,1,3000000.00
9,3 bedroom flat for rent,"Ikeja GRA, Ikeja, Lagos",Added Yesterday,1,3,5,1,8000000.00
10,1 bedroom mini flat for rent,"Abule Ijesha, Yaba, Lagos",Added Yesterday,2,1,2,1,650000.00
11,2 bedroom flat for rent,"Ocean Palms Estate, Sangotedo, Ajah, Lagos",Added Yesterday,1,2,3,1,1200000.00
12,1 bedroom mini flat for rent,"Water Corporation Road, Oniru, Victoria Island (VI), Lagos",Added Yesterday,1,1,1,1,1500000.00
13,2 bedroom flat for rent,"Gbara, Off Lekki Beach Road, Jakande, Lekki, Lagos",Added on 22 Sep 2020,1,2,3,1,1300000.00
14,1 bedroom mini flat for rent,"Ikate Elegushi, Lekki, Lagos",Added on 21 Sep 2020,1,1,1,1,1000000.00
15,Self contained (single rooms) for rent,"Ikate Elegushi, Lekki, Lagos",Added on 22 Sep 2020,3,1,1,1,450000.00
