,area,lowest_price,highest_price
0,Abule,500000.0,85000000.0
1,Adeniyi Jones,2000000.0,20000000.0
2,Agege,700000.0,700000.0
3,Agidingbi,,
4,Aguda,1000000.0,1500000.0
5,Ajah,250000.0,60000000.0
6,Ajegunle,,
7,Ajeromi-Ifelodun,,
8,Akerele,,
9,Akoka,500000.0,1500000.0
10,Alaba,,
11,Alagomeji,150000.0,300000.0
12,Alausa,20000.0,20000.0
13,Alimosho,220000.0,220000.0
14,Amuwo Odofin,500000.0,1300000.0
15,Anthony Village,40000.0,80000000.0
16,Apapa,,
17,Badagry,,
18,Bariga,300000.0,300000.0
19,Coker,5000000.0,5000000.0
20,Dolphin Estate,7000000.0,7000000.0
21,Dopemu,700000.0,700000.0
22,Ebute Metta,1300000.0,1300000.0
23,Epe,800000.0,800000.0
24,Eti-Osa,,
25,Festac Town,,
26,Gbagada,450000.0,65000000.0
27,Idumota,,
28,Ifako - Ijaiye,,
29,Ijesha,600000.0,600000.0
30,Ijora,,
31,Ikeja,20000.0,150000000.0
32,Ikorodu,35000.0,43000000.0
33,Ikoyi,40000.0,310000000.0
34,Ilasamaja,,
35,Ilupeju,5000000.0,5000000.0
36,Iwaya,1500000.0,1500000.0
37,Iyana Ipaja,350000.0,350000.0
38,Jibowu,,
39,Ketu,750000.0,750000.0
40,Kosofe,600000.0,5000000.0
41,Ladipo,2200000.0,67500000.0
42,Lagos Island,,
43,Lagos Mainland,120000.0,15000000.0
44,Lawanson,450000.0,750000.0
45,Lekki,50000.0,320000000.0
46,Marina,,
47,Maryland,35000.0,80000000.0
48,Masha,,
49,Maza Maza,,
50,Mende,650000.0,1500000.0
51,Mile 2,,
52,Mushin,800000.0,67500000.0
53,Obalende,,
54,Obanikoro,,
55,Ogba,120000.0,1000000.0
56,Ogudu,450000.0,3200000.0
57,Ojo,650000.0,6500000.0
58,Ojodu,900000.0,6500000.0
59,Ojodu Berger,,
60,Ojota,650000.0,650000.0
61,Ojuelegba,1000000.0,1300000.0
62,Olodi,,
63,Onigbongbo,,
64,Onipanu,400000.0,400000.0
65,Oniru,1200000.0,24000000.0
66,Opebi,,
67,Oregun,2500000.0,67500000.0
68,Oshodi - Isolo,,
69,Palmgrove,,
70,Papa Ajao,,
71,Sabo,500000.0,4000000.0
72,Satellite Town,500000.0,500000.0
73,Shomolu,300000.0,2700000.0
74,Surulere,450000.0,67000000.0
75,Takwa Bay,,
76,Tinubu Square,,
77,Victoria Garden City,,
78,Victoria Island,25000.0,45000000.0
79,Yaba,150000.0,45000000.0
