,title,address,date_added,bed,bath,toilet,price
1,2 BEDROOM FLAT / APARTMENT FOR RENT,Mende Maryland Lagos,Added 19 Nov 2020,2 beds,2 baths,2 Toilets,"1,000,000"
2,3 BEDROOM FLAT / APARTMENT FOR RENT,Ajao estate IsoloAjao Estate Isolo Lagos,Added 19 Nov 2020,3 beds,3 baths,4 Toilets,"1,500,000"
3,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Chevron Lekki Lagos,"Updated 19 Nov 2020, Added 05 Nov 2020",5 beds,5 baths,6 Toilets,"4,000,000"
4,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Osapa London Lekki Lagos,"Updated 19 Nov 2020, Added 13 Nov 2020",4 beds,4 baths,5 Toilets,"3,500,000"
5,5 BEDROOM OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,off coker roadCoker Road Ilupeju Lagos,Added 18 Nov 2020,5 beds,5 baths,7 Toilets,"5,000,000"
6,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Ikeja Gra Ikeja Lagos,Added 18 Nov 2020,4 beds,4 baths,5 Toilets,"5,500,000"
7,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Chevron Lekki Lagos,"Updated 18 Nov 2020, Added 05 Nov 2020",4 beds,4 baths,5 Toilets,"4,000,000"
8,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikota Lekki Lagos,"Updated 18 Nov 2020, Added 13 Nov 2020",3 beds,3 baths,4 Toilets,"2,500,000"
9,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 18 Nov 2020, Added 13 Nov 2020",4 beds,4 baths,5 Toilets,"5,000,000"
10,4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 09 Aug 2020",4 beds,5 baths,6 Toilets,"120,000,000"
11,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,OrchidChevron Lekki Lagos,"Updated 17 Nov 2020, Added 26 Oct 2020",4 beds,4 baths,5 Toilets,"3,500,000"
12,3 BEDROOM FLAT / APARTMENT FOR RENT,Gbagada Lagos,"Updated 17 Nov 2020, Added 11 Nov 2020",3 beds,baths,Toilets,"2,800,000"
13,2 BEDROOM FLAT / APARTMENT FOR RENT,Palmgroove Shomolu Lagos,"Updated 17 Nov 2020, Added 12 Nov 2020",2 beds,baths,Toilets,"2,700,000"
14,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Ikota Lekki Lagos,"Updated 17 Nov 2020, Added 26 Oct 2020",4 beds,4 baths,5 Toilets,"3,500,000"
15,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Idado Lekki Lagos,"Updated 17 Nov 2020, Added 31 Oct 2020",4 beds,4 baths,5 Toilets,"2,800,000"
16,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Anthony Village Maryland Lagos,"Updated 17 Nov 2020, Added 23 Jun 2020",beds,baths,4 Toilets,"40,000"
17,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 18 Jul 2020",3 beds,3 baths,4 Toilets,"9,000,000"
18,3 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 07 May 2020",3 beds,3 baths,4 Toilets,"10,000,000"
19,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,SowemimoIkeja Gra Ikeja Lagos,"Updated 17 Nov 2020, Added 24 Jun 2020",4 beds,4 baths,5 Toilets,"6,500,000"
20,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 04 Aug 2020",beds,baths,Toilets,"45,000"
21,3 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 02 Mar 2020",3 beds,3 baths,4 Toilets,"21,500,000"
22,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
23,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Bourdillon Ikoyi Lagos,"Updated 17 Nov 2020, Added 28 Jul 2020",4 beds,5 baths,4 Toilets,"15,000,000"
24,2 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 15 Apr 2020",2 beds,2 baths,3 Toilets,"8,000,000"
25,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 10 Jun 2020",4 beds,4 baths,5 Toilets,"6,000,000"
26,4 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 12 Aug 2020",4 beds,4 baths,5 Toilets,"18,000,000"
27,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 30 Oct 2020",4 beds,5 baths,6 Toilets,"10,000,000"
28,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 23 Oct 2020",4 beds,4 baths,5 Toilets,"8,000,000"
29,2 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 17 Jun 2020",2 beds,2 baths,3 Toilets,"8,000,000"
30,2 BEDROOM FLAT / APARTMENT FOR RENT,Eko Atlantic Victoria Island Lagos,"Updated 17 Nov 2020, Added 10 Aug 2020",2 beds,2 baths,3 Toilets,"12,000,000"
31,SEMI DETACHED DUPLEX HOUSE FOR RENT,OrchidChevron Lekki Lagos,"Updated 17 Nov 2020, Added 02 Oct 2020",beds,baths,Toilets,"3,500,000"
