,type,area,bed,bath,toilet,price
0,flat / apartment,Maryland,2 ,2 ,2 ,1000000
1,detached duplex,Lekki,5 ,5 ,6 ,4000000
2,detached duplex,Lekki,4 ,4 ,5 ,3500000
3,terraced duplex,Ikeja,4 ,4 ,5 ,5500000
4,semi detached duplex,Lekki,4 ,4 ,5 ,4000000
5,flat / apartment,Lekki,3 ,3 ,4 ,2500000
6,terraced duplex,Lekki,4 ,4 ,5 ,5000000
7,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
8,flat / apartment,Gbagada,3 ,,,2800000
9,flat / apartment,Shomolu,2 ,,,2700000
10,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
11,terraced duplex,Lekki,4 ,4 ,5 ,2800000
12,flat / apartment,Ikoyi,3 ,3 ,4 ,9000000
13,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
14,terraced duplex,Ikeja,4 ,4 ,5 ,6500000
15,flat / apartment,Victoria Island,3 ,3 ,4 ,21500000
16,terraced duplex,Ikoyi,4 ,5 ,4 ,15000000
17,flat / apartment,Ikoyi,2 ,2 ,3 ,8000000
18,terraced duplex,Lekki,4 ,4 ,5 ,6000000
19,flat / apartment,Ikoyi,4 ,4 ,5 ,18000000
20,terraced duplex,Victoria Island,4 ,5 ,6 ,10000000
21,terraced duplex,Ikoyi,4 ,4 ,5 ,8000000
22,flat / apartment,Ikoyi,2 ,2 ,3 ,8000000
23,flat / apartment,Victoria Island,2 ,2 ,3 ,12000000
24,semi detached duplex,Lekki,,,,3500000
25,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
26,terraced duplex,Lekki,4 ,4 ,5 ,4500000
27,flat / apartment,Oniru,3 ,3 ,4 ,4000000
28,terraced duplex,Lekki,3 ,3 ,4 ,3700000
29,flat / apartment,Ikoyi,2 ,2 ,3 ,13000000
30,flat / apartment,Ikeja,3 ,3 ,4 ,2500000
31,flat / apartment,Lekki,3 ,3 ,4 ,2800000
32,flat / apartment,Lekki,3 ,3 ,4 ,3500000
33,flat / apartment,Ikoyi,3 ,3 ,4 ,5000000
34,flat / apartment,Lekki,3 ,3 ,4 ,3000000
35,terraced duplex,Lekki,4 ,4 ,5 ,3500000
36,terraced duplex,Lekki,4 ,4 ,5 ,3000000
37,flat / apartment,Ikoyi,3 ,3 ,3 ,6000000
38,flat / apartment,Ikoyi,4 ,4 ,4 ,15000000
39,flat / apartment,Ikoyi,3 ,3 ,3 ,8000000
40,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
41,flat / apartment,Ikoyi,4 ,5 ,6 ,10000000
42,semi detached duplex,Ikoyi,4 ,4 ,5 ,8000000
43,detached duplex,Ikeja,4 ,4 ,5 ,10000000
44,terraced duplex,Lekki,3 ,3 ,4 ,2300000
45,flat / apartment,Ikoyi,4 ,5 ,6 ,15000000
46,semi detached duplex,Lekki,4 ,4 ,5 ,4000000
47,flat / apartment,Ikoyi,3 ,3 ,4 ,5000000
48,semi detached duplex,Lekki,4 ,4 ,5 ,5000000
49,terraced duplex,Oniru,4 ,5 ,4 ,7000000
50,flat / apartment,Ikoyi,4 ,4 ,5 ,15000000
51,terraced duplex,Lekki,4 ,4 ,5 ,24000000
52,flat / apartment,Lekki,3 ,3 ,4 ,5000000
53,flat / apartment,Victoria Island,3 ,3 ,4 ,10000000
54,flat / apartment,Ikoyi,4 ,4 ,5 ,8500000
55,terraced duplex,Ikoyi,4 ,4 ,5 ,11000000
56,flat / apartment,Lekki,3 ,3 ,4 ,3500000
57,flat / apartment,Lekki,3 ,,,4000000
58,flat / apartment,Victoria Island,4 ,4 ,5 ,18000000
59,semi detached duplex,Ojo,4 ,4 ,5 ,4000000
60,terraced duplex,Lekki,3 ,3 ,4 ,3000000
61,flat / apartment,Ikoyi,3 ,3 ,4 ,40000
62,flat / apartment,Lekki,3 ,3 ,4 ,70000000
63,terraced duplex,Lekki,4 ,4 ,5 ,3200000
64,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
65,terraced duplex,Lekki,3 ,3 ,4 ,3000000
66,flat / apartment,Lekki,3 ,3 ,4 ,2600000
67,terraced duplex,Ikoyi,4 ,4 ,4 ,6000000
68,terraced duplex,Lekki,4 ,4 ,5 ,3500000
69,flat / apartment,Oniru,2 ,2 ,2 ,7500000
70,terraced duplex,Ikoyi,4 ,4 ,5 ,13000000
71,flat / apartment,Ajah,4 ,4 ,4 ,1500000
72,terraced duplex,Lekki,3 ,4 ,4 ,3500000
73,flat / apartment,Ikoyi,3 ,3 ,4 ,6000000
74,terraced duplex,Ikoyi,4 ,4 ,5 ,9000000
75,flat / apartment,Ikoyi,3 ,3 ,4 ,15000000
76,flat / apartment,Ikoyi,3 ,4 ,4 ,7000000
77,semi detached duplex,Ikoyi,4 ,4 ,5 ,8000000
78,flat / apartment,Victoria Island,3 ,3 ,4 ,13000000
79,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
